Fecha,Total,Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routermacas),Vlan200(routermacas),Vlan100(routeralausi),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routerqvdo),Vlan200(routerqvdo),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routermanta),Vlan100(routertena),Vlan200(routertena),Vlan100(routerbalzar),Vlan200(routermanta),Vlan200(routerbalzar),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routerbalsas),Vlan200(routerbalsas),Vlan100(routeresmeraldas),Vlan100(routermontecristi),Vlan200(routermontecristi),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routerpedernales),Vlan200(routerpedernales),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routeresmeraldas2),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routercoca),Vlan200(routercoca),Vlan2001(routeruiob),Vlan1001(routeruiob),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan2001(routeruioa),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan1001(routeruiod),Vlan2001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2001(routeruiom),Vlan1001(routeruiom),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan1001(routergyem),Vlan2001(routergyem),Vlan2002(routergyem),Vlan1002(routergyem),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan1003(routeruios),Vlan2004(routeruios),Vlan1004(routeruios),Vlan2001(routergyea),Vlan1001(routergyea),Vlan1002(routergyea),Vlan2002(routergyea),Vlan1003(routergyea),Vlan2003(routergyea),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1002(routergyes),Vlan4001(routergyes),Vlan1002(routergyei),Vlan2002(routergyei),Vlan2001(routergyei),Vlan1001(routergyei),Vlan2003(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2004(routergyei),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan1002(routergyek),Vlan2001(routergyek),Vlan2002(routergyek),Vlan200(routeresmeraldas2),Vlan2003(routergyea),Vlan1004(routergyei)
2020-05-07 04:00 - 06:00,191.47,0.37,0.54,2.76,2.05,-,1.03,0.02,-,0.21,0.25,0.25,0.33,0.26,0.11,0.0,0.0,0.1,0.03,0.0,0.14,0.22,0.02,0.0,0.1,0.0,0.08,0.12,1.05,1.03,0.1,0.08,1.29,1.49,0.13,0.0,0.42,0.18,0.2,0.38,2.36,1.83,0.0,0.0,0.07,0.08,1.02,1.31,0.07,0.16,0.19,0.15,2.19,0.15,0.04,0.15,2.17,-,1.31,0.97,0.85,1.08,0.83,1.37,0.04,0.0,0.04,0.06,-,0.06,-,0.07,0.0,0.21,0.2,0.35,0.28,0.06,0.11,0.22,0.42,0.0,0.02,0.03,0.01,0.02,0.02,0.06,0.0,-,0.0,0.1,0.0,0.83,0.19,0.18,0.16,0.1,0.09,0.0,3.08,3.66,-,1.26,0.88,0.69,3.78,3.78,0.28,0.73,3.88,2.96,2.74,2.39,2.52,3.12,2.14,2.03,2.87,3.3,2.02,2.03,2.34,1.78,0.03,0.3,0.46,0.28,0.07,0.01,0.0,2.37,1.76,1.87,2.52,3.7,3.9,3.29,2.41,2.26,1.95,1.26,1.74,3.15,3.38,3.37,3.24,1.23,-,4.57,4.1,3.51,3.42,4.89,4.18,4.44,2.53,5.45,4.61,3.23,1.82,2.12,1.94,-,0.86,-,-,-,-,-,-,1.21,0.77,1.35
2020-05-07 06:00 - 08:00,380.29,0.67,1.11,4.04,2.72,-,2.03,0.02,-,0.44,0.48,0.59,0.62,0.35,0.2,0.0,0.0,0.18,0.06,0.0,0.27,0.34,0.05,0.0,0.14,0.0,0.16,0.2,2.0,2.21,0.14,0.15,1.97,2.99,0.29,0.0,0.97,0.38,0.38,0.77,4.06,3.06,0.0,0.0,0.12,0.18,2.46,2.92,0.14,0.4,0.47,0.42,4.4,0.35,0.1,0.37,3.53,-,2.71,2.28,2.07,2.35,2.17,2.77,0.05,0.0,0.06,0.11,-,0.1,-,0.07,0.0,0.43,0.32,0.87,0.65,0.16,0.32,0.37,0.89,0.0,0.06,0.01,0.02,0.03,0.03,0.17,0.0,-,0.0,0.21,0.0,1.41,0.46,0.36,0.29,0.13,0.15,0.0,7.53,8.75,-,3.07,2.24,1.37,8.88,8.88,0.35,1.43,9.4,7.86,6.57,5.87,5.88,7.59,4.94,5.1,6.98,7.59,4.33,4.94,3.1,3.15,0.08,0.44,0.81,0.33,0.11,0.03,0.0,2.81,3.52,3.49,3.76,9.2,9.0,7.61,5.94,5.41,4.79,2.68,3.74,4.92,5.01,6.19,5.64,2.02,-,8.27,6.31,7.44,4.26,6.97,7.02,7.35,3.85,9.37,7.91,7.0,3.76,4.06,3.03,-,2.3,-,-,-,-,-,-,1.83,0.92,3.29
2020-05-07 08:00 - 10:00,556.0,1.05,1.72,6.39,4.51,-,3.07,0.01,-,0.65,0.64,0.73,0.78,0.54,0.43,0.0,0.0,0.24,0.09,0.0,0.39,0.48,0.05,0.0,0.22,0.0,0.27,0.29,2.75,2.86,0.27,0.2,3.01,5.29,0.5,0.0,1.43,0.52,0.53,1.15,6.85,4.71,0.0,0.0,0.27,0.29,3.08,3.89,0.22,0.65,0.67,0.61,6.46,0.54,0.13,0.46,5.99,-,3.55,3.19,2.66,2.91,2.95,3.89,0.1,0.0,0.09,0.15,-,0.18,-,0.13,0.0,0.48,0.44,0.97,0.79,0.22,0.32,0.47,1.08,0.0,0.06,0.01,0.03,0.03,0.04,0.17,0.0,-,0.0,0.33,0.0,2.36,0.64,0.55,0.46,0.23,0.23,0.0,9.28,10.96,-,3.84,2.88,1.47,11.31,11.31,0.41,1.99,12.9,9.88,9.55,7.97,7.93,10.8,6.42,6.11,9.23,9.84,6.25,6.49,5.05,4.93,0.08,0.7,1.04,0.49,0.13,0.08,0.0,4.19,5.06,4.85,5.02,12.4,12.81,10.38,8.16,7.55,6.47,3.91,5.59,6.84,7.27,9.9,8.71,3.33,-,14.6,10.69,12.63,7.76,11.82,11.26,13.53,7.49,15.22,12.46,10.74,6.16,6.57,4.56,-,3.61,-,-,-,-,-,-,2.77,1.58,5.16
2020-05-07 10:00 - 12:00,616.17,1.27,1.87,7.03,4.86,-,3.49,0.01,-,0.65,0.65,0.83,0.88,0.66,0.47,0.0,0.08,0.28,0.1,0.0,0.48,0.54,0.08,0.0,0.24,0.0,0.31,0.38,3.0,3.19,0.27,0.22,3.28,5.56,0.51,0.0,1.6,0.6,0.59,1.36,7.71,5.57,0.0,0.0,0.27,0.31,3.36,4.45,0.26,0.72,0.67,0.61,7.31,0.54,0.15,0.47,6.58,-,3.86,3.48,2.96,3.49,3.22,4.08,0.1,0.0,0.1,0.18,-,0.2,-,0.14,0.0,0.51,0.53,1.06,0.85,0.27,0.41,0.55,1.24,0.0,0.07,0.02,0.04,0.05,0.05,0.19,0.0,-,0.0,0.39,0.0,2.38,0.75,0.55,0.55,0.23,0.31,0.0,9.66,11.39,-,4.03,3.11,1.59,12.07,12.07,0.41,2.2,13.68,11.02,9.89,8.67,8.64,10.8,7.33,6.5,9.55,10.27,7.48,7.03,5.82,5.52,0.09,0.7,1.26,0.6,0.18,0.08,0.0,5.05,5.88,5.7,6.09,13.52,14.47,11.09,8.9,8.13,7.22,4.04,5.89,7.55,8.48,11.18,10.26,4.04,-,16.48,12.2,13.94,8.91,13.48,13.57,14.82,8.22,17.9,14.42,12.23,6.76,7.4,5.23,-,3.86,-,-,-,-,-,-,3.03,1.7,5.72
2020-05-07 12:00 - 14:00,692.5,1.39,2.14,7.98,5.75,-,4.13,0.02,-,0.75,0.69,0.83,0.94,0.72,0.47,0.0,0.1,0.31,0.13,0.0,0.56,0.62,0.08,0.0,0.26,0.0,0.36,0.45,3.45,3.45,0.24,0.22,4.12,6.63,0.56,0.0,1.65,0.72,0.59,1.38,7.95,6.31,0.0,0.0,0.25,0.38,3.74,5.25,0.26,0.77,0.79,0.67,7.92,0.56,0.16,0.49,7.27,-,4.19,4.03,3.51,3.76,3.9,4.79,0.17,0.0,0.1,0.18,-,0.2,-,0.14,0.0,0.57,0.54,1.14,1.11,0.27,0.51,0.55,1.24,0.0,0.1,0.02,0.04,0.07,0.05,0.19,0.0,-,0.0,0.39,0.0,2.71,0.88,0.54,0.56,0.23,0.31,0.0,10.28,13.21,-,4.42,3.38,1.79,12.66,12.66,0.41,2.24,15.84,12.56,11.26,9.76,9.61,12.39,8.07,7.58,10.73,11.71,7.62,8.11,6.58,6.23,0.11,0.86,1.47,0.71,0.19,0.07,0.0,5.81,6.77,6.9,6.52,14.89,15.26,12.42,10.1,9.05,8.02,4.53,6.65,8.24,9.09,13.1,12.08,4.27,-,18.34,14.34,15.56,10.55,16.01,15.03,16.72,9.34,19.9,16.97,13.92,7.76,8.69,6.17,-,4.02,-,-,-,-,-,-,3.39,1.95,6.15
2020-05-07 14:00 - 16:00,785.02,1.39,2.36,7.98,6.19,-,4.61,0.02,-,0.76,0.77,1.03,1.26,0.82,0.51,0.0,0.1,0.37,0.13,0.0,0.61,0.67,0.06,0.0,0.27,0.0,0.38,0.45,3.7,3.93,0.26,0.25,4.27,7.25,0.67,0.0,1.85,0.76,0.69,1.47,7.95,6.91,0.0,0.0,0.33,0.38,4.34,5.85,0.25,0.77,0.79,0.75,7.92,0.6,0.17,0.55,7.82,-,4.48,4.21,3.65,4.27,4.5,6.01,0.17,0.0,0.11,0.2,-,0.24,-,0.13,0.0,0.87,0.6,1.38,1.37,0.37,0.51,0.65,1.37,0.0,0.1,0.02,0.05,0.07,0.08,0.17,0.0,-,0.0,0.42,0.0,2.89,0.88,0.69,0.61,0.2,0.34,0.0,12.17,15.11,-,4.98,4.07,1.92,15.09,15.09,0.45,2.49,18.84,15.12,13.76,11.93,11.23,14.71,9.06,9.16,12.7,14.24,8.64,9.5,7.06,7.21,0.11,0.89,1.66,0.76,0.19,0.05,0.0,6.57,7.17,7.79,7.2,17.46,18.64,15.4,12.02,10.16,10.34,5.39,8.03,9.75,10.36,14.54,13.34,4.88,-,19.38,15.51,16.65,11.87,17.74,16.88,18.67,9.99,22.62,18.63,14.99,8.47,9.49,7.2,-,4.24,-,-,-,-,-,-,3.93,2.18,6.49
2020-05-07 16:00 - 18:00,774.71,1.37,2.36,-,6.19,-,4.61,0.02,-,0.87,0.83,1.03,1.27,0.82,0.51,0.0,0.01,0.37,0.15,0.0,0.61,0.73,0.06,0.0,0.27,0.0,0.38,0.39,3.7,3.93,0.28,0.25,4.27,7.25,0.67,0.0,1.85,0.78,0.72,1.49,-,6.91,0.0,0.0,0.33,0.44,4.41,5.96,0.25,0.85,0.77,0.75,-,0.69,0.23,0.58,7.93,-,4.68,4.21,4.02,4.54,4.5,6.01,0.13,0.0,0.11,0.22,-,0.26,-,0.11,0.0,0.87,0.62,1.38,1.37,0.37,0.52,0.67,1.37,0.0,0.09,0.01,0.05,0.04,0.08,0.2,0.0,-,0.0,0.49,0.0,3.13,0.93,0.71,0.62,0.2,0.34,0.0,12.25,15.2,-,4.98,4.29,2.07,15.27,15.27,0.48,2.6,19.26,15.12,14.16,12.05,11.58,14.84,9.5,9.23,12.98,14.5,9.15,9.98,7.06,7.21,0.12,0.89,1.66,0.8,0.14,0.05,0.0,6.57,7.17,7.79,7.79,18.31,19.3,17.76,12.56,10.96,10.4,5.4,8.03,10.21,10.63,14.54,13.34,4.95,-,19.41,15.61,16.65,11.87,17.74,16.88,18.67,9.99,22.62,18.63,14.99,8.48,9.49,7.2,-,4.24,-,-,-,-,-,-,3.93,2.4,6.49
2020-05-07 18:00 - 20:00,784.15,1.33,2.34,-,6.36,-,4.73,0.02,-,0.87,0.86,1.03,1.28,0.9,0.61,0.0,0.1,0.38,0.15,0.0,0.62,0.74,0.08,0.0,0.3,0.0,0.38,0.44,4.09,4.03,0.3,0.29,4.21,7.37,0.67,0.0,1.83,0.78,0.72,1.49,-,7.11,0.0,0.0,0.32,0.44,4.46,5.96,0.27,0.85,0.8,0.82,-,0.7,0.23,0.58,8.0,-,4.79,4.56,4.06,4.63,4.42,5.83,0.13,0.0,0.1,0.22,-,0.26,-,0.13,0.0,0.79,0.63,1.39,1.39,0.34,0.56,0.67,1.35,0.0,0.13,0.02,0.09,0.03,0.08,0.22,0.0,-,0.0,0.49,0.0,3.25,0.93,0.71,0.64,0.2,0.36,0.0,12.5,15.86,-,5.28,4.29,2.07,15.61,15.61,0.48,2.71,19.26,15.04,14.16,12.05,11.58,14.84,9.5,9.23,13.34,14.5,9.15,9.98,7.33,6.87,0.18,0.87,1.6,0.82,0.14,0.05,0.0,6.54,7.31,7.6,8.2,18.87,19.61,17.76,12.56,11.2,10.4,5.4,7.87,11.01,11.11,14.8,13.7,5.24,-,19.66,15.61,16.75,11.58,17.36,16.06,18.67,10.02,22.93,18.91,15.82,8.84,9.62,7.47,-,4.59,-,-,-,-,-,-,3.84,2.4,6.68
2020-05-07 20:00 - 22:00,805.59,1.42,2.43,-,6.72,-,4.8,0.03,-,0.87,0.86,1.09,1.28,0.9,0.65,0.0,0.1,0.39,0.15,0.0,0.63,0.74,0.09,0.0,0.3,0.0,0.38,0.44,4.09,4.26,0.32,0.29,4.4,7.56,0.74,0.0,1.76,0.77,0.74,1.53,-,7.18,0.0,0.0,0.32,0.44,4.63,6.27,0.29,0.89,0.8,0.82,-,0.75,0.22,0.6,8.0,-,4.97,4.82,4.17,4.94,4.21,5.83,0.13,0.0,0.11,0.21,-,0.29,-,0.13,0.0,0.79,0.66,1.56,1.39,0.4,0.57,0.64,1.32,0.0,0.15,0.02,0.09,0.03,0.1,0.22,0.0,-,0.0,0.52,0.0,3.25,0.85,0.7,0.7,0.23,0.37,0.0,14.26,16.67,-,5.55,4.48,2.08,16.24,16.24,0.43,2.77,19.32,15.79,15.26,12.87,11.61,15.74,9.31,10.04,13.72,14.0,9.22,10.76,7.54,7.15,0.18,0.96,1.81,0.82,0.14,0.06,0.0,7.0,7.47,7.77,8.52,18.87,19.61,16.2,12.28,11.2,10.39,5.54,7.72,11.87,11.83,15.26,13.7,5.24,-,20.51,16.0,17.82,11.96,17.98,17.05,18.99,10.6,22.97,19.92,15.95,8.95,10.0,7.57,-,4.59,-,-,-,-,-,-,3.84,2.39,6.68
2020-05-07 22:00 - 24:00,826.7,1.42,2.43,7.98,6.72,-,4.8,0.03,-,0.85,0.86,1.09,1.22,0.89,0.65,0.0,0.01,0.4,0.15,0.0,0.63,0.69,0.09,0.0,0.27,0.0,0.37,0.4,3.9,4.26,0.32,0.24,4.4,7.56,0.74,0.0,1.76,0.77,0.74,1.53,7.98,7.18,0.0,0.0,0.3,0.41,4.63,6.27,0.29,0.89,0.79,0.79,7.92,0.75,0.22,0.6,7.97,-,4.97,4.82,4.17,4.94,4.18,5.78,0.13,0.0,0.11,0.2,-,0.29,-,0.12,0.0,0.7,0.66,1.56,1.26,0.4,0.57,0.59,1.31,0.0,0.15,0.01,0.06,0.03,0.1,0.18,0.0,-,0.0,0.52,0.0,3.16,0.85,0.7,0.7,0.23,0.37,0.0,14.26,16.67,-,5.55,4.48,2.08,16.24,16.24,0.33,2.77,19.32,15.79,15.26,12.87,11.61,15.74,9.31,10.04,13.72,14.0,9.22,10.76,7.54,7.15,0.14,0.98,1.81,0.82,0.11,0.06,0.0,7.0,7.47,7.77,8.52,18.5,19.51,15.85,12.28,10.97,10.39,5.54,7.72,11.87,11.83,15.26,13.46,5.24,-,20.51,16.0,17.82,11.96,17.98,17.05,18.99,10.6,22.97,19.92,15.95,8.95,10.0,7.57,-,4.54,-,-,-,-,-,-,3.81,2.39,6.63
2020-05-08 00:00 - 02:00,733.46,1.14,1.96,7.98,6.25,-,4.26,0.02,-,0.76,0.81,0.85,0.98,0.66,0.47,0.0,0.01,0.4,0.15,0.0,0.58,0.58,0.03,0.0,0.21,0.0,0.31,0.34,3.43,3.6,0.25,0.19,3.87,6.85,0.55,0.0,1.53,0.65,0.57,1.37,7.98,6.4,0.0,0.0,0.27,0.41,3.97,5.08,0.22,0.72,0.72,0.64,7.92,0.55,0.22,0.43,7.97,-,4.49,4.2,3.81,4.38,3.62,4.93,0.11,0.0,0.11,0.17,-,0.18,-,0.09,0.0,0.65,0.63,1.04,1.09,0.31,0.46,0.48,1.07,0.0,0.08,0.02,0.05,0.03,0.07,0.14,0.0,-,0.0,0.32,0.0,2.74,0.8,0.6,0.52,0.2,0.3,0.0,12.12,14.24,-,4.6,4.06,1.54,13.87,13.87,0.27,2.17,16.84,13.36,12.34,11.0,10.25,13.37,8.2,8.59,12.43,13.48,7.91,9.15,6.83,6.78,0.14,0.98,1.76,0.76,0.09,0.06,0.0,6.8,6.52,7.21,7.97,15.38,16.27,13.25,11.06,9.67,8.9,5.12,6.92,11.12,11.28,13.39,12.09,4.91,-,18.57,15.23,16.15,11.04,17.22,16.13,17.99,9.9,20.62,17.45,13.24,7.5,8.59,6.91,-,3.64,-,-,-,-,-,-,3.66,2.1,5.77
2020-05-08 02:00 - 04:00,402.92,0.58,1.06,5.49,4.38,-,2.33,0.01,-,0.47,0.42,0.47,0.64,0.38,0.3,0.0,0.01,0.13,0.05,0.0,0.34,0.33,0.01,0.0,0.08,0.0,0.18,0.14,1.88,2.25,0.17,0.11,2.09,4.26,0.26,0.0,0.78,0.3,0.28,0.7,5.2,3.98,0.0,0.0,0.14,0.21,2.2,2.62,0.12,0.35,0.29,0.24,5.04,0.31,0.09,0.19,4.4,-,2.26,1.97,2.12,2.34,1.87,2.83,0.03,0.0,0.04,0.08,-,0.1,-,0.08,0.0,0.29,0.29,0.56,0.52,0.1,0.39,0.26,0.51,0.0,0.02,0.02,0.02,0.01,0.04,0.09,0.0,-,0.0,0.14,0.0,1.86,0.36,0.23,0.31,0.09,0.15,0.0,5.55,6.51,-,2.42,1.7,0.66,6.26,6.26,0.14,1.09,8.2,6.77,6.28,6.1,5.16,6.7,4.34,4.22,6.71,6.71,4.05,4.64,4.36,4.01,0.09,0.61,1.16,0.59,0.08,0.04,0.0,4.22,3.97,4.31,4.46,7.99,8.23,7.12,5.76,4.75,4.64,2.58,4.02,5.95,6.98,7.89,6.52,2.93,-,10.6,8.9,8.97,7.12,10.54,9.25,10.2,5.94,12.31,10.99,6.55,3.69,5.03,4.23,-,1.85,-,-,-,-,-,-,2.41,1.27,3.09
2020-05-08 04:00 - 06:00,189.54,0.33,0.41,2.82,1.78,-,0.98,0.01,-,0.19,0.16,0.3,0.28,0.17,0.13,0.0,0.0,0.1,0.07,0.0,0.17,0.16,0.01,0.0,0.08,0.0,0.15,0.08,1.08,1.05,0.11,0.07,0.86,1.68,0.14,0.0,0.31,0.12,0.18,0.35,2.21,1.92,0.0,0.0,0.05,0.08,0.96,1.31,0.09,0.17,0.18,0.13,2.24,0.16,0.06,0.15,1.97,-,1.07,0.98,0.9,1.07,0.91,1.33,0.02,0.0,0.04,0.04,-,0.03,-,0.08,0.0,0.18,0.14,0.38,0.25,0.05,0.16,0.2,0.34,0.0,0.02,0.0,0.01,0.01,0.03,0.08,0.0,-,0.0,0.15,0.0,0.79,0.32,0.18,0.15,0.06,0.07,0.0,3.29,3.52,-,1.37,0.82,0.59,4.24,4.24,0.13,0.77,3.97,3.31,3.23,2.95,2.43,3.41,2.15,2.04,3.2,3.34,1.89,2.21,2.07,1.64,0.03,0.35,0.63,0.22,0.04,0.01,0.0,2.13,1.76,2.1,2.35,4.17,3.94,3.61,2.82,2.42,2.07,1.23,1.87,2.91,3.17,2.94,2.95,1.32,-,4.11,3.94,3.49,3.11,4.91,3.96,3.64,2.01,4.91,4.66,2.89,1.76,2.04,1.96,-,1.03,-,-,-,-,-,-,1.1,0.61,1.5
2020-05-08 06:00 - 08:00,369.69,0.6,1.07,3.61,2.77,-,2.11,0.01,-,0.45,0.38,0.54,0.54,0.35,0.16,0.0,0.0,0.18,0.11,0.0,0.24,0.26,0.03,0.0,0.15,0.0,0.19,0.19,1.64,1.78,0.12,0.14,1.67,2.87,0.28,0.0,0.69,0.36,0.38,0.75,4.3,3.16,0.0,0.0,0.13,0.16,2.28,2.82,0.12,0.33,0.32,0.32,4.22,0.3,0.09,0.25,3.57,-,2.57,2.38,1.92,2.49,2.06,2.83,0.05,0.0,0.05,0.08,-,0.08,-,0.07,0.0,0.35,0.27,0.76,0.62,0.2,0.26,0.42,0.76,0.0,0.04,0.01,0.01,0.03,0.04,0.12,0.0,-,0.0,0.3,0.0,1.31,0.46,0.32,0.28,0.12,0.15,0.0,7.18,8.5,-,2.97,2.35,1.13,8.76,8.76,0.2,1.57,9.11,7.22,6.54,6.12,5.32,7.69,4.99,4.51,7.39,7.42,4.69,5.15,3.17,2.74,0.05,0.53,0.75,0.3,0.08,0.04,0.0,2.95,3.01,2.91,3.83,8.79,9.3,7.71,6.04,5.7,4.87,2.42,3.93,4.93,4.76,6.29,5.72,2.04,-,7.81,6.21,6.96,4.56,6.4,6.18,7.2,4.0,9.29,7.71,6.45,3.67,3.73,3.08,-,2.19,-,-,-,-,-,-,1.62,0.93,2.87
2020-05-08 08:00 - 10:00,529.29,0.86,1.44,5.72,4.12,-,3.17,0.01,-,0.65,0.59,0.7,0.67,0.51,0.25,0.0,0.0,0.23,0.11,0.0,0.42,0.43,0.05,0.0,0.17,0.0,0.24,0.3,2.74,2.68,0.24,0.23,2.52,4.63,0.53,0.0,1.2,0.52,0.52,0.98,6.32,4.46,0.0,0.0,0.19,0.3,2.93,3.79,0.17,0.48,0.54,0.56,6.39,0.51,0.15,0.44,5.4,-,3.57,3.18,2.54,3.24,2.94,4.28,0.07,0.0,0.07,0.12,-,0.18,-,0.1,0.0,0.51,0.37,0.95,0.88,0.22,0.34,0.49,0.98,0.0,0.06,0.02,0.03,0.04,0.08,0.14,0.0,-,0.0,0.3,0.0,2.05,0.6,0.43,0.4,0.17,0.23,0.0,8.88,10.59,-,3.65,2.81,1.34,11.34,11.34,0.2,1.82,12.31,9.51,8.57,7.69,7.42,9.74,6.71,5.98,8.91,9.27,5.95,6.45,4.66,4.43,0.08,0.67,1.17,0.48,0.17,0.07,0.0,4.47,4.85,4.75,5.13,11.84,12.45,9.85,7.81,7.16,6.52,3.2,5.22,6.77,6.92,9.59,8.83,3.11,-,12.93,10.94,11.95,7.81,11.41,10.63,12.39,6.86,14.3,12.0,10.0,5.82,6.01,4.59,-,3.04,-,-,-,-,-,-,2.41,1.41,4.46
2020-05-08 10:00 - 12:00,597.21,1.11,1.77,6.44,4.74,-,3.57,0.03,-,0.69,0.68,0.79,0.87,0.66,0.32,0.0,0.01,0.29,0.14,0.0,0.46,0.45,0.05,0.0,0.3,0.0,0.38,0.34,2.9,2.9,0.25,0.24,3.2,5.79,0.56,0.0,1.41,0.57,0.58,1.11,7.39,5.42,0.0,0.0,0.23,0.33,3.02,4.01,0.28,0.64,0.57,0.65,7.24,0.51,0.15,0.5,5.91,-,3.63,3.49,2.77,3.28,3.03,4.28,0.1,0.0,0.08,0.16,-,0.21,-,0.1,0.0,0.51,0.51,1.06,0.9,0.24,0.37,0.59,1.15,0.0,0.07,0.02,0.03,0.04,0.08,0.16,0.0,-,0.0,0.32,0.0,2.3,0.67,0.57,0.51,0.17,0.29,0.0,9.11,11.29,-,3.86,2.92,1.49,11.98,11.98,0.08,2.13,13.91,10.67,10.02,8.66,8.67,10.29,6.71,6.35,9.27,9.82,6.33,6.98,5.36,5.26,0.13,0.74,1.31,0.64,0.24,0.07,0.0,4.93,5.59,5.48,5.79,12.72,13.52,10.74,8.53,7.93,6.94,3.77,5.4,7.46,7.96,10.98,9.69,3.72,-,16.26,13.12,14.16,9.24,13.6,13.07,14.72,8.29,16.91,14.07,11.56,6.71,6.93,5.6,-,3.58,-,-,-,-,-,-,2.93,1.68,5.2
2020-05-08 12:00 - 14:00,683.57,1.28,2.22,7.82,5.85,-,4.01,0.03,-,0.69,0.75,0.95,1.04,0.78,0.38,0.0,0.09,0.3,0.15,0.0,0.52,0.54,0.08,0.0,0.3,0.0,0.42,0.34,3.38,3.68,0.25,0.25,3.58,6.71,0.56,0.0,1.7,0.61,0.61,1.28,7.9,6.1,0.0,0.0,0.23,0.36,3.55,4.58,0.28,0.71,0.8,0.66,7.99,0.53,0.24,0.53,7.37,-,4.09,3.87,3.38,3.66,3.64,4.35,0.13,0.0,0.09,0.2,-,0.28,-,0.12,0.0,0.66,0.51,1.2,0.97,0.24,0.39,0.63,1.16,0.0,0.09,0.01,0.07,0.03,0.08,0.16,0.0,-,0.0,0.42,0.0,2.75,0.67,0.57,0.51,0.17,0.33,0.0,10.4,12.92,-,4.41,3.28,1.62,12.97,12.97,0.07,2.41,15.7,12.01,11.61,9.44,9.17,11.96,7.78,7.95,10.5,10.87,7.5,8.27,6.53,6.33,0.13,0.77,1.59,0.66,0.24,0.06,0.0,5.56,6.62,6.49,6.75,15.0,15.96,12.83,10.29,9.54,8.2,4.21,6.68,8.22,8.67,12.74,11.9,4.58,-,18.16,14.94,15.41,10.41,15.16,14.5,15.99,9.05,20.23,16.64,13.5,7.55,7.95,6.32,-,3.95,-,-,-,-,-,-,3.39,1.86,5.77
