Fecha,Total,Vlan100(routerpinas),Vlan200(routerpinas),Vlan100(routerbabahoyo),Vlan200(routerbabahoyo),Vlan100(routerguaranda),Vlan200(routerguaranda),Vlan100(routerlagoagrio),Vlan200(routerlagoagrio),Vlan100(routermachala),Vlan200(routermachala),Vlan100(routeresmeraldas),Vlan100(routerposorja),Vlan200(routerposorja),Vlan100(routervirgendefatima),Vlan200(routervirgendefatima),Vlan100(routerpifo),Vlan200(routerpifo),Vlan100(routerjipijapa),Vlan200(routerjipijapa),Vlan100(routerstodomingo),Vlan200(routerstodomingo),Vlan100(routerbanos),Vlan200(routerbanos),Vlan100(routerotavalo),Vlan200(routerotavalo),Vlan100(routerambato),Vlan200(routerambato),Vlan100(routerduran),Vlan200(routerduran),Vlan100(routermilagro),Vlan200(routermilagro),Vlan100(routerloja),Vlan200(routerloja),Vlan100(routerlatacunga),Vlan200(routerlatacunga),Vlan100(routermanta),Vlan200(routermanta),Vlan100(routerportoviejo),Vlan200(routerportoviejo),Vlan100(routervinces),Vlan200(routervinces),Vlan100(routerpasaje),Vlan200(routerpasaje),Vlan100(routernaranjal),Vlan200(routernaranjal),Vlan100(routerpalestina),Vlan200(routerpalestina),Vlan100(routersalinas),Vlan200(routersalinas),Vlan100(routertulcan),Vlan200(routertulcan),Vlan100(routerriobamba),Vlan200(routerriobamba),Vlan100(routermacas),Vlan200(routermacas),Vlan100(routeribarra),Vlan200(routeribarra),Vlan100(routerdaule),Vlan200(routerdaule),Vlan100(routerbalzar),Vlan200(routerbalzar),Vlan100(routersalcedo),Vlan200(routersalcedo),Vlan100(routertabacundo),Vlan200(routertabacundo),Vlan100(routerzaruma),Vlan200(routerzaruma),Vlan100(routersantarosa),Vlan200(routersantarosa),Vlan100(routerbalsas),Vlan100(routerqvdo),Vlan200(routerbalsas),Vlan200(routerqvdo),Vlan100(routerprogreso),Vlan200(routerprogreso),Vlan100(routercuenca),Vlan200(routercuenca),Vlan100(routerplayas),Vlan200(routerplayas),Vlan100(routeralausi),Vlan200(routeralausi),Vlan100(routercoca),Vlan200(routercoca),Vlan100(routertena),Vlan200(routertena),Vlan100(routertarifa),Vlan200(routertarifa),Vlan100(routercayambe),Vlan200(routercayambe),Vlan100(routerpuyo),Vlan200(routerpuyo),Vlan100(routershushufindi),Vlan200(routershushufindi),Vlan100(routercotacachi),Vlan200(routercotacachi),Vlan100(routerquininde),Vlan200(routerquininde),Vlan100(routeratuntaqui),Vlan200(routeratuntaqui),Vlan100(routertonsupa),Vlan200(routertonsupa),Vlan100(routerpedernales),Vlan200(routerpedernales),Vlan100(routeresmeraldas2),Vlan200(routeresmeraldas2),Vlan1001(routeruiod),Vlan2001(routeruiod),Vlan1002(routeruiod),Vlan2002(routeruiod),Vlan1003(routeruiod),Vlan2003(routeruiod),Vlan2001(routeruiob),Vlan1001(routeruiob),Vlan1002(routeruioa),Vlan2002(routeruioa),Vlan1003(routeruioa),Vlan2003(routeruioa),Vlan1001(routeruioa),Vlan2001(routeruioa),Vlan2002(routeruios),Vlan1002(routeruios),Vlan2001(routeruios),Vlan1001(routeruios),Vlan2003(routeruios),Vlan1003(routeruios),Vlan2004(routeruios),Vlan1004(routeruios),Vlan2001(routeruiom),Vlan1001(routeruiom),Vlan2004(routeruiog),Vlan1004(routeruiog),Vlan1003(routeruiog),Vlan2003(routeruiog),Vlan1001(routergyem),Vlan2001(routergyem),Vlan2002(routergyem),Vlan1002(routergyem),Vlan2001(routergyea),Vlan1001(routergyea),Vlan1002(routergyea),Vlan2002(routergyea),Vlan1003(routergyea),Vlan2003(routergyea),Vlan1002(routergyei),Vlan2002(routergyei),Vlan2001(routergyei),Vlan1001(routergyei),Vlan2003(routergyei),Vlan1003(routergyei),Vlan1004(routergyei),Vlan2004(routergyei),Vlan2003(routergyes),Vlan2002(routergyes),Vlan1003(routergyes),Vlan1001(routergyes),Vlan3001(routergyes),Vlan2001(routergyes),Vlan1002(routergyes),Vlan4001(routergyes),Vlan1001(routergyec),Vlan2001(routergyec),Vlan1002(routergyec),Vlan2002(routergyec),Vlan1003(routergyec),Vlan2003(routergyec),Vlan1004(routergyec),Vlan2004(routergyec),Vlan3004(routergyec),Vlan1002(routergyek),Vlan2002(routergyek),Vlan1001(routergyek),Vlan1002(routergyek),Vlan2001(routergyek),Vlan2002(routergyek),Vlan100(routermontecristi),Vlan200(routermontecristi)
2020-06-05 16:00 - 18:00,744.0,0.25,0.28,2.13,2.2,0.67,0.63,0.0,0.0,3.47,3.59,0.12,0.64,-,0.4,0.66,1.36,1.34,1.08,1.16,5.24,4.28,0.33,0.36,1.65,1.73,6.49,6.11,0.67,0.56,-,4.18,0.85,0.91,1.11,1.57,8.0,7.79,7.98,6.01,0.68,0.62,-,-,0.17,0.0,0.09,0.0,7.99,6.64,0.29,0.49,-,4.98,0.0,0.02,4.24,5.95,0.34,0.48,0.47,-,0.0,0.01,0.27,0.0,0.12,0.0,0.32,0.0,0.1,4.95,0.0,5.97,0.07,-,3.79,4.72,0.65,0.62,-,-,0.4,0.0,0.9,0.31,0.31,-,0.6,1.5,1.18,1.33,0.01,0.03,0.56,0.0,0.03,0.12,0.89,0.62,0.75,0.26,0.0,0.09,2.6,4.22,18.56,13.73,13.49,12.29,11.11,14.19,12.46,14.87,-,5.01,4.1,1.9,15.49,15.49,16.88,18.06,15.14,12.15,10.48,9.93,5.83,7.7,8.55,8.96,10.04,16.65,10.03,8.27,5.74,6.36,6.13,6.75,8.5,9.99,12.29,11.1,4.37,2.08,17.59,17.21,13.77,6.69,8.31,6.3,5.91,3.67,16.13,13.58,14.85,9.42,13.62,13.89,14.62,9.46,6.4,5.84,0.15,1.38,1.41,1.05,0.12,0.06,0.0,-,-,-,-,-,-,0.3,-
2020-06-05 18:00 - 20:00,786.69,0.3,0.28,2.41,1.85,0.84,0.65,0.0,0.0,3.95,4.18,0.1,0.66,-,0.38,0.81,1.56,1.34,1.18,1.19,5.39,4.67,0.33,0.36,1.7,2.02,6.69,6.11,0.73,0.55,-,4.67,0.85,0.91,1.11,1.64,-,7.91,7.98,6.54,0.83,0.73,-,-,0.17,0.0,0.08,0.0,-,7.36,0.29,0.56,-,5.1,0.01,0.02,4.25,5.95,0.41,0.5,0.53,-,0.0,0.01,0.27,0.0,0.15,0.0,0.32,0.0,0.2,5.36,0.0,6.31,0.03,-,3.97,5.11,0.69,0.66,-,-,0.43,0.0,0.94,0.31,0.34,-,0.6,1.58,1.21,1.42,0.01,0.04,0.62,0.0,0.04,0.12,0.89,0.66,0.66,0.29,0.0,0.12,2.66,4.38,19.89,14.65,14.19,12.29,11.36,14.44,13.44,16.02,-,5.58,4.46,1.97,16.17,16.17,18.67,18.97,15.24,13.17,11.25,10.72,5.83,7.95,8.84,8.91,10.4,17.18,10.03,8.83,6.23,6.96,6.93,7.53,10.04,12.33,15.16,12.39,5.19,2.4,20.37,20.03,14.95,7.61,9.76,7.1,6.7,4.12,18.09,15.39,16.25,11.2,15.48,15.78,15.76,10.28,6.5,6.09,0.15,1.11,1.81,0.81,0.12,0.07,0.0,-,-,-,-,-,-,0.3,-
2020-06-05 20:00 - 22:00,830.41,0.3,0.27,2.41,1.91,0.84,0.69,0.0,0.0,4.3,4.33,0.1,0.67,-,0.42,0.86,1.69,1.42,1.2,1.33,5.65,5.03,0.38,0.39,1.8,2.19,7.03,6.57,0.86,0.55,-,5.01,0.92,0.91,1.06,1.64,-,7.91,-,6.8,0.85,0.77,-,-,0.11,0.0,0.09,0.0,-,7.93,0.27,0.58,-,5.28,0.01,0.01,4.72,6.16,0.42,0.5,0.53,-,0.0,0.0,0.31,0.0,0.18,0.0,0.32,0.0,0.2,5.58,0.0,6.65,0.02,-,4.57,5.6,0.69,0.71,-,-,0.45,0.0,0.99,0.21,0.34,-,0.6,1.58,1.21,1.42,0.01,0.05,0.68,0.0,0.04,0.09,0.92,0.66,0.7,0.29,0.0,0.14,2.87,4.72,20.57,15.85,14.86,13.81,12.13,15.84,14.46,18.1,-,6.03,4.88,1.99,17.0,17.0,19.34,20.15,16.39,13.77,11.96,11.15,6.36,8.29,9.57,9.97,12.41,18.74,10.63,9.94,7.18,7.2,8.01,8.74,11.28,12.88,15.16,12.99,5.5,2.58,21.4,21.44,16.11,7.9,10.01,7.49,7.0,4.22,19.12,16.14,16.71,11.61,16.25,16.61,17.32,11.21,7.28,7.06,0.12,1.05,1.87,0.84,0.11,0.07,0.0,-,-,-,-,-,-,0.24,-
2020-06-05 22:00 - 24:00,853.13,0.3,0.25,2.32,1.91,0.77,0.69,0.0,0.0,4.3,4.33,0.1,0.67,-,0.42,0.86,1.69,1.42,1.2,1.33,5.65,5.03,0.38,0.39,1.8,2.19,7.03,6.57,0.86,0.55,-,5.01,0.92,0.93,1.06,1.61,7.72,7.74,7.66,6.8,0.85,0.77,-,-,0.11,0.0,0.09,0.0,7.93,7.93,0.27,0.58,-,5.28,0.01,0.01,4.72,6.16,0.42,0.49,0.51,-,0.0,0.0,0.31,0.0,0.18,0.0,0.3,0.0,0.18,5.58,0.0,6.65,0.02,-,4.57,5.6,0.68,0.71,-,-,0.45,0.0,0.99,0.19,0.33,-,0.56,1.54,1.21,1.41,0.01,0.05,0.68,0.0,0.04,0.09,0.92,0.64,0.7,0.27,0.0,0.14,2.87,4.72,20.57,15.85,14.86,13.81,12.13,15.84,14.46,18.1,-,6.03,4.88,1.99,17.0,17.0,19.34,20.15,16.39,13.77,11.96,11.15,6.36,8.29,9.57,9.97,12.41,18.74,10.63,9.94,7.18,7.2,8.01,8.74,11.28,12.88,14.96,12.99,5.5,2.58,21.4,21.44,16.11,7.9,10.01,7.49,7.0,4.22,19.12,16.14,16.71,11.61,16.25,16.61,17.32,11.21,7.28,7.06,0.12,1.05,1.87,1.05,0.11,0.06,0.0,-,-,-,-,-,-,0.25,-
2020-06-06 00:00 - 02:00,769.72,0.26,0.23,1.81,1.73,0.65,0.63,0.0,0.0,3.72,3.85,0.07,0.57,-,0.36,0.76,1.32,1.19,1.09,1.11,4.76,4.34,0.3,0.33,1.34,1.69,4.34,6.11,0.7,0.49,-,4.71,0.76,0.93,0.84,1.37,7.72,7.74,7.66,6.39,0.64,0.62,-,-,0.09,0.0,0.04,0.0,7.93,6.9,0.21,0.43,5.94,4.44,0.01,0.01,3.73,5.22,0.3,0.38,0.38,-,0.0,0.0,0.22,0.0,0.1,0.0,0.24,0.0,0.08,4.8,0.0,5.95,0.02,-,4.19,5.07,0.58,0.52,-,-,0.34,0.0,0.85,0.14,0.22,-,0.49,1.18,1.02,1.29,0.01,0.04,0.53,0.0,0.04,0.09,0.8,0.57,0.57,0.22,0.0,0.13,2.55,4.31,17.32,14.3,13.21,12.35,10.3,14.13,12.62,15.35,-,5.15,4.29,1.6,14.82,14.82,15.61,17.12,13.7,11.56,10.03,9.54,5.49,7.31,8.7,8.78,10.77,17.46,9.86,8.93,7.13,6.9,7.61,8.14,10.82,12.09,13.37,11.65,5.19,2.46,19.85,20.05,14.59,6.82,9.22,6.83,5.71,3.55,17.74,15.68,15.75,11.13,15.74,15.76,16.0,10.74,6.85,6.54,0.07,1.0,1.77,1.05,0.11,0.06,0.0,-,-,-,-,-,-,0.25,-
2020-06-06 02:00 - 04:00,414.04,0.15,0.14,0.92,0.85,0.29,0.26,0.0,0.0,2.51,2.08,0.05,0.31,-,0.14,0.47,0.62,0.54,0.55,0.53,2.45,2.06,0.12,0.16,0.61,0.75,2.31,3.26,0.32,0.24,-,2.47,0.3,0.5,0.38,0.63,4.89,4.81,5.62,3.97,0.26,0.31,0.0,-,0.06,0.0,0.02,0.0,4.55,3.84,0.12,0.21,5.94,2.2,0.0,0.01,2.07,2.9,0.16,0.29,0.15,-,0.0,0.0,0.12,0.0,0.04,0.0,0.12,0.0,0.04,2.7,0.0,3.12,0.01,-,2.33,2.87,0.22,0.34,-,-,0.18,0.0,0.41,0.09,0.07,-,0.22,0.5,0.56,0.69,0.01,0.02,0.26,0.0,0.02,0.04,0.19,0.11,0.29,0.12,0.0,0.02,1.63,2.98,8.62,6.8,6.5,6.41,5.47,7.53,5.86,6.79,-,2.5,2.13,0.67,6.79,6.79,7.89,8.34,7.05,5.53,5.25,4.64,2.79,3.6,5.25,4.8,5.43,9.14,4.83,4.2,4.58,3.82,4.46,4.71,6.08,7.13,7.71,6.57,3.17,1.45,10.97,11.46,7.38,3.25,4.86,3.92,2.85,1.8,9.88,8.87,8.57,7.22,9.4,9.05,7.78,5.46,3.86,3.8,0.05,0.58,1.2,0.57,0.08,0.04,0.0,-,-,-,-,-,-,0.11,-
2020-06-06 04:00 - 06:00,188.43,0.07,0.07,0.53,0.39,0.2,0.16,0.0,0.0,1.13,0.93,0.03,0.16,-,0.09,0.2,0.44,0.35,0.31,0.23,1.11,0.89,0.06,0.09,0.58,0.62,0.94,1.51,0.19,0.11,-,1.01,0.17,0.23,0.26,0.34,2.03,2.39,2.68,1.95,0.12,0.15,0.0,-,0.06,0.0,0.01,0.0,1.89,1.66,0.07,0.19,3.05,1.41,0.0,0.0,0.82,1.27,0.11,0.18,0.11,-,0.0,0.0,0.08,0.0,0.03,0.0,0.06,0.0,0.02,1.03,0.0,1.5,0.01,-,0.84,1.28,0.14,0.14,-,-,0.06,0.0,0.2,0.04,0.05,-,0.17,0.41,0.25,0.34,0.0,0.01,0.16,0.0,0.01,0.02,0.18,0.18,0.1,0.05,0.0,0.01,0.69,1.16,4.35,3.23,3.18,2.81,2.38,3.13,3.19,3.84,-,1.22,0.93,0.54,4.13,4.13,4.3,4.55,3.4,3.22,2.6,2.27,1.33,1.66,2.27,1.77,2.29,3.72,2.08,1.99,2.27,1.76,1.8,2.08,2.83,2.96,2.91,2.68,1.24,0.67,4.18,4.73,2.94,1.36,2.04,1.59,1.45,0.9,3.92,3.59,2.91,3.06,4.02,3.29,2.95,2.15,1.96,1.66,0.03,0.33,0.5,0.21,0.04,0.02,0.0,-,-,-,-,-,-,0.04,-
2020-06-06 06:00 - 08:00,379.51,0.14,0.11,0.88,0.87,0.36,0.33,0.0,0.0,1.97,1.96,0.09,0.34,-,0.21,0.46,0.85,0.62,0.6,0.64,2.9,2.39,0.14,0.16,0.88,1.11,2.27,2.85,0.41,0.23,-,2.26,0.35,0.39,0.5,0.76,4.29,3.99,3.79,2.72,0.33,0.37,0.0,-,0.12,0.0,0.03,0.0,4.42,3.22,0.14,0.3,6.49,2.31,0.0,0.0,1.88,2.77,0.19,0.27,0.25,-,0.0,0.0,0.12,0.0,0.05,0.0,0.12,0.0,0.04,2.23,0.0,2.97,0.01,-,1.94,2.33,0.35,0.32,-,-,0.24,0.0,0.48,0.08,0.12,-,0.31,0.77,0.59,0.58,0.01,0.02,0.29,0.0,0.03,0.05,0.4,0.33,0.37,0.18,0.0,0.06,1.16,2.1,9.12,7.21,6.51,5.91,5.15,6.94,6.54,8.07,-,2.6,2.14,1.05,7.93,7.93,8.58,9.2,7.3,6.05,5.37,4.47,2.51,3.57,4.67,4.25,4.78,8.78,4.88,4.5,2.99,3.04,3.2,3.6,4.81,5.13,6.62,6.19,2.15,0.98,8.64,8.76,6.86,3.09,4.23,3.02,3.02,2.07,8.41,6.94,7.56,4.9,6.4,7.02,6.82,4.7,3.1,2.72,0.05,0.52,0.85,0.29,0.08,0.05,0.0,-,-,-,-,-,-,0.12,-
2020-06-06 08:00 - 10:00,536.3,0.23,0.2,1.46,1.27,0.5,0.42,0.0,0.0,2.72,2.9,0.09,0.54,-,0.31,0.53,0.98,0.8,0.93,0.85,4.14,3.47,0.2,0.23,1.24,1.39,2.88,3.9,0.57,0.32,-,3.6,0.45,0.65,0.67,0.99,6.53,6.02,6.04,4.47,0.56,0.52,0.0,-,0.12,0.0,0.05,0.0,6.5,4.76,0.16,0.32,7.91,3.29,0.0,0.01,2.99,4.08,0.28,0.31,0.33,-,0.0,0.01,0.15,0.0,0.09,0.0,0.18,0.0,0.06,3.49,0.0,4.43,0.08,-,2.62,3.06,0.49,0.44,-,-,0.33,0.0,0.65,0.14,0.16,-,0.39,0.99,0.77,0.95,0.01,0.03,0.3,0.0,0.03,0.06,0.54,0.45,0.48,0.28,0.0,0.09,2.0,3.28,12.21,9.52,8.74,7.9,6.84,9.3,8.32,9.76,-,3.29,2.68,1.36,10.81,10.81,11.4,11.87,9.08,7.72,7.01,6.15,3.42,4.88,6.12,5.66,6.12,10.77,6.34,5.35,4.32,4.68,4.73,5.06,6.82,7.47,9.71,8.4,3.27,1.45,13.31,13.59,10.76,4.99,5.99,4.43,4.75,2.93,12.7,11.06,11.5,7.44,10.75,10.6,11.17,7.37,4.8,4.16,0.17,0.78,1.18,0.48,0.12,0.05,0.0,-,-,-,-,-,-,0.16,-
2020-06-06 10:00 - 12:00,612.6,0.23,0.2,1.73,1.47,0.5,0.5,0.0,0.0,3.11,3.31,0.07,0.57,-,0.34,0.6,1.13,0.85,1.13,1.12,4.51,3.8,0.25,0.26,1.24,1.83,3.41,4.27,0.66,0.36,-,4.12,0.56,0.68,0.75,1.25,7.84,7.13,7.57,5.44,0.67,0.58,0.0,-,0.12,0.0,0.07,0.0,7.37,5.56,0.2,0.39,7.91,3.48,0.01,0.02,3.45,4.36,0.33,0.4,0.38,-,0.0,0.01,0.19,0.0,0.09,0.0,0.21,0.0,0.15,4.01,0.0,4.9,0.08,-,2.72,3.35,0.61,0.51,-,-,0.36,0.0,0.65,0.18,0.17,-,0.54,1.09,0.83,1.08,0.01,0.04,0.41,0.0,0.03,0.1,0.75,0.48,0.55,0.31,0.0,0.11,2.36,4.04,13.44,10.72,9.67,8.6,8.15,9.94,8.48,11.06,-,3.8,3.07,1.56,11.33,11.33,12.15,13.35,10.37,8.52,8.0,6.92,3.79,5.82,6.57,6.13,6.87,12.15,7.35,6.05,5.19,5.88,5.78,5.74,7.69,8.53,11.31,9.94,3.74,1.66,15.91,15.92,12.51,5.67,7.43,5.28,5.3,3.37,14.9,13.37,13.23,8.94,12.44,12.58,12.62,9.02,5.62,5.23,0.17,0.93,1.28,0.67,0.18,0.12,0.0,-,-,-,-,-,-,0.23,-
2020-06-06 12:00 - 14:00,654.63,0.23,0.26,1.98,1.6,0.63,0.54,0.0,0.0,3.24,3.77,0.09,0.6,-,0.34,0.61,1.2,0.92,1.13,1.14,4.63,4.23,0.26,0.29,1.26,1.83,3.61,4.87,0.74,0.43,-,4.2,0.67,0.77,0.76,1.25,7.84,7.93,7.95,6.12,0.7,0.65,0.0,-,0.12,0.0,0.08,0.0,7.99,6.12,0.26,0.39,-,3.79,0.01,0.02,3.48,4.6,0.35,0.43,0.43,-,0.0,0.01,0.21,0.0,0.12,0.0,0.26,0.0,0.15,4.46,0.0,5.48,0.03,-,3.05,3.65,0.65,0.65,-,-,0.46,0.0,0.74,0.18,0.2,-,0.54,1.21,0.91,1.08,0.01,0.04,0.41,0.0,0.03,0.11,0.77,0.52,0.59,0.31,0.0,0.11,2.69,4.45,15.04,11.72,10.53,9.71,9.07,10.83,8.86,11.06,-,3.97,3.1,1.56,12.22,12.22,13.38,14.54,10.79,9.54,8.6,7.28,4.21,5.82,6.86,6.73,8.05,12.87,7.65,6.79,5.21,5.97,6.23,6.51,7.69,8.64,12.17,10.84,3.93,1.86,17.31,16.83,13.61,6.27,8.34,5.92,5.93,3.75,16.81,13.8,14.63,9.75,14.09,14.13,13.98,9.43,6.44,6.08,0.16,1.03,1.49,0.72,0.28,0.12,0.0,-,-,-,-,-,-,0.23,-
2020-06-06 14:00 - 16:00,705.19,0.25,0.26,1.98,1.67,0.66,0.67,0.0,0.0,3.38,3.86,0.12,0.61,-,0.4,0.7,1.27,1.25,1.14,1.26,4.84,4.23,0.28,0.29,1.35,1.67,4.08,5.35,0.75,0.48,-,4.2,0.71,0.84,0.76,1.33,-,7.93,7.95,6.26,0.7,0.68,0.0,-,0.12,0.0,0.08,0.0,7.99,6.7,0.3,0.43,-,4.07,0.01,0.02,3.82,5.58,0.36,0.43,0.43,-,0.0,0.01,0.21,0.0,0.12,0.0,0.29,0.0,0.15,4.98,0.0,5.91,0.04,-,3.19,3.7,0.65,0.65,-,-,0.46,0.0,0.74,0.19,0.25,-,0.65,1.37,1.01,1.17,0.01,0.06,0.51,0.0,0.03,0.12,0.85,0.52,0.68,0.29,0.0,0.1,2.9,4.68,16.49,13.46,12.43,10.64,10.48,12.83,10.55,13.49,-,4.48,3.66,1.7,14.01,14.01,15.4,16.87,13.14,11.31,9.57,8.98,5.09,7.17,8.45,8.16,8.63,15.05,9.04,8.35,5.89,6.29,6.25,6.56,8.24,9.76,12.84,11.43,4.37,2.02,18.02,17.69,13.75,6.73,8.78,6.11,5.93,3.75,16.81,14.41,14.96,10.17,14.72,14.53,14.02,9.72,6.44,6.26,0.16,1.03,1.49,0.94,0.28,0.1,0.0,-,-,-,-,-,-,0.24,-
2020-06-06 16:00 - 18:00,715.23,0.29,0.27,1.99,1.67,0.77,0.72,0.0,0.0,3.44,3.86,0.16,0.74,-,0.4,0.71,1.35,1.38,1.14,1.26,4.89,4.23,0.28,0.33,1.44,1.86,4.34,5.52,0.75,0.51,-,4.22,0.71,0.84,0.85,1.56,-,-,-,6.3,0.68,0.68,0.0,-,0.14,0.0,0.05,0.0,-,7.14,0.3,0.49,-,4.55,0.01,0.01,4.16,5.95,0.36,0.4,0.45,-,0.0,0.01,0.26,0.0,0.1,0.0,0.29,0.0,0.2,4.98,0.0,6.17,0.04,-,3.82,3.96,0.65,0.64,-,-,0.4,0.0,0.75,0.19,0.25,-,0.65,1.45,1.01,1.23,0.01,0.06,0.58,0.0,0.05,0.15,0.85,0.62,0.68,0.31,0.0,0.1,3.02,4.75,18.62,13.99,13.43,11.85,10.7,14.16,12.06,15.08,-,5.33,4.14,1.81,14.65,14.65,16.32,18.18,14.27,11.86,10.51,9.72,5.78,7.4,8.63,8.96,10.02,16.86,10.22,9.33,6.52,6.41,6.37,7.0,8.7,10.06,12.84,11.43,4.49,2.02,18.52,17.97,14.02,6.91,8.98,6.33,5.88,3.58,16.8,14.41,14.96,10.17,14.72,14.53,14.11,9.72,6.43,6.26,0.14,0.98,1.53,0.94,0.13,0.1,0.0,-,-,-,-,-,-,0.29,-
2020-06-06 18:00 - 20:00,776.22,0.3,0.29,2.3,1.85,0.81,0.72,0.0,0.0,3.85,4.18,0.16,0.74,-,0.4,0.77,1.47,1.38,1.28,1.35,5.49,4.61,0.28,0.38,1.82,1.89,4.51,6.34,0.82,0.61,-,4.68,0.84,0.85,0.94,1.62,-,-,-,6.96,0.79,0.75,0.0,-,0.16,0.0,0.08,0.0,-,7.49,0.27,0.51,-,4.85,0.01,0.01,4.29,5.95,0.4,0.44,0.47,-,0.0,0.01,0.35,0.0,0.11,0.0,0.29,0.0,0.2,5.56,0.0,6.43,0.03,-,3.99,4.67,0.68,0.75,-,-,0.44,0.0,0.87,0.19,0.24,-,0.63,1.67,1.1,1.3,0.01,0.04,0.59,0.0,0.08,0.15,0.88,0.71,0.75,0.31,0.0,0.1,3.02,4.75,20.25,16.0,14.69,13.03,12.05,15.16,13.88,17.14,-,5.39,4.58,1.91,16.16,16.16,18.61,19.38,15.19,12.57,11.36,10.52,5.78,7.83,9.4,9.18,10.84,17.9,10.91,10.0,6.95,7.24,7.2,7.68,9.61,11.61,14.86,12.29,5.06,2.25,20.41,19.89,15.24,7.54,9.46,6.65,6.87,3.99,17.76,15.8,16.3,10.52,15.45,15.3,15.44,10.35,6.38,6.16,0.12,0.98,1.68,0.88,0.13,0.1,0.0,-,-,-,-,-,-,0.29,-
2020-06-06 20:00 - 22:00,841.35,0.34,0.3,2.3,1.95,0.81,0.73,0.0,0.0,4.15,4.36,0.13,0.81,-,0.41,0.77,1.54,1.43,1.35,1.42,5.71,4.89,0.36,0.43,1.82,2.01,4.89,6.99,0.88,0.61,-,4.89,0.88,0.93,0.96,1.73,-,-,-,7.3,0.88,0.75,0.0,-,0.16,0.0,0.08,0.0,-,7.98,0.29,0.52,-,5.24,0.01,0.01,5.28,6.75,0.41,0.45,0.54,-,0.0,0.0,0.35,0.0,0.11,0.0,0.31,0.0,0.15,5.66,0.0,6.69,0.03,-,4.54,5.3,0.7,0.83,-,-,0.56,0.0,0.9,0.22,0.24,-,0.63,1.67,1.19,1.35,0.01,0.04,0.59,0.0,0.08,0.13,0.95,0.74,0.75,0.35,0.0,0.13,3.01,4.83,20.58,16.67,15.82,14.48,12.45,16.99,15.3,18.58,-,5.8,5.07,1.91,17.48,17.48,19.59,20.27,16.01,13.36,12.17,11.07,5.66,8.61,10.36,10.35,12.51,19.08,11.76,11.12,7.49,7.55,8.22,9.02,12.11,13.47,15.45,13.89,5.73,2.65,22.16,21.9,16.77,8.37,10.54,7.3,7.41,4.25,18.88,16.98,17.29,11.99,17.19,16.76,17.17,11.49,7.04,6.79,0.12,1.07,1.78,0.96,0.15,0.1,0.0,-,-,-,-,-,-,0.29,-
2020-06-06 22:00 - 24:00,848.64,0.34,0.3,2.27,1.95,0.79,0.73,0.0,0.0,4.15,4.36,0.13,0.81,-,0.41,0.76,1.54,1.43,1.35,1.42,5.71,4.89,0.36,0.43,1.78,2.01,4.89,6.99,0.88,0.58,-,4.89,0.88,0.93,0.96,1.73,-,7.78,-,7.3,0.88,0.73,0.0,-,0.15,0.0,0.07,0.0,-,7.98,0.29,0.52,-,5.24,0.01,0.01,5.28,6.75,0.41,0.45,0.54,-,0.0,0.0,0.29,0.0,0.11,0.0,0.31,0.0,0.1,5.66,0.0,6.69,0.02,-,4.54,5.3,0.7,0.83,-,-,0.56,0.0,0.9,0.22,0.22,-,0.56,1.67,1.19,1.35,0.01,0.04,0.52,0.0,0.07,0.13,0.95,0.74,0.74,0.35,0.0,0.13,3.01,4.83,20.58,16.67,15.82,14.48,12.45,16.99,15.3,18.58,-,5.8,5.07,1.9,17.48,17.48,19.59,20.27,16.01,13.36,12.17,11.07,5.66,8.61,10.36,10.35,12.51,19.08,11.76,11.12,7.49,7.55,8.22,9.02,12.11,13.47,15.45,13.89,5.73,2.65,22.16,21.9,16.77,8.37,10.54,7.3,7.41,4.25,18.88,16.98,17.29,11.99,17.19,16.76,17.17,11.49,7.04,6.79,0.11,1.07,1.78,0.96,0.15,0.09,0.0,-,-,-,-,-,-,0.29,-
2020-06-07 00:00 - 02:00,789.85,0.29,0.27,1.95,1.76,0.69,0.61,0.0,0.0,3.73,3.97,0.09,0.66,-,0.35,0.69,1.26,1.32,1.1,1.18,4.94,4.44,0.28,0.35,1.45,1.72,4.54,6.08,0.78,0.51,-,4.47,0.88,0.93,0.79,1.41,5.52,7.78,6.39,6.8,0.71,0.64,0.0,-,0.13,0.0,0.07,0.0,5.44,7.78,0.29,0.51,6.74,4.75,0.0,0.0,4.05,6.24,0.36,0.36,0.4,-,0.0,0.0,0.2,0.0,0.1,0.0,0.22,0.0,0.08,4.97,0.0,6.02,0.02,-,4.26,4.71,0.65,0.58,-,-,0.4,0.0,0.81,0.19,0.21,-,0.41,1.21,1.06,1.2,0.01,0.03,0.43,0.0,0.04,0.13,0.81,0.65,0.61,0.28,0.0,0.1,2.8,4.49,18.05,14.33,13.31,12.39,11.12,14.69,13.43,16.68,-,5.19,4.61,1.55,14.71,14.71,16.42,17.0,14.38,11.44,10.52,9.47,5.22,7.66,9.67,9.42,11.01,18.46,10.3,9.8,7.31,6.97,7.78,8.29,10.78,12.75,13.92,12.11,5.33,2.52,21.09,20.88,15.04,7.22,9.9,7.01,6.54,3.66,18.35,16.38,16.4,11.6,15.95,15.93,16.36,10.73,6.82,6.44,0.12,0.96,1.69,0.83,0.13,0.09,0.0,-,-,-,-,-,-,0.27,-
