,Fecha,Ciudad,Tipo_Enlace,Traffic
0,2020-06-01 00:00:00,Alausi,B,0.0
1,2020-06-01 00:00:00,Alausi,P,0.0
2,2020-06-01 00:00:00,Ambato,B,5.68
3,2020-06-01 00:00:00,Ambato,P,4.07
4,2020-06-01 00:00:00,Atuntaqui,B,0.52
5,2020-06-01 00:00:00,Atuntaqui,P,0.7
6,2020-06-01 00:00:00,Babahoyo,B,1.91
7,2020-06-01 00:00:00,Babahoyo,P,1.1
8,2020-06-01 00:00:00,Balsas,B,0.0
9,2020-06-01 00:00:00,Balsas,P,0.07
10,2020-06-01 00:00:00,Balzar,B,0.0
11,2020-06-01 00:00:00,Balzar,P,0.48
12,2020-06-01 00:00:00,Banos,B,0.33
13,2020-06-01 00:00:00,Banos,P,0.25
14,2020-06-01 00:00:00,Cayambe,B,0.88
15,2020-06-01 00:00:00,Cayambe,P,0.51
16,2020-06-01 00:00:00,Coca,B,0.0
17,2020-06-01 00:00:00,Coca,P,0.37
18,2020-06-01 00:00:00,Cotacachi,B,0.0
19,2020-06-01 00:00:00,Cotacachi,P,0.45
20,2020-06-01 00:00:00,Cuenca,B,4.75
21,2020-06-01 00:00:00,Cuenca,P,3.93
22,2020-06-01 00:00:00,Daule,B,0.37
23,2020-06-01 00:00:00,Daule,P,0.31
24,2020-06-01 00:00:00,Duran,B,0.42
25,2020-06-01 00:00:00,Duran,P,0.76
26,2020-06-01 00:00:00,Esmeraldas,P,0.1
27,2020-06-01 00:00:00,Esmeraldas2,B,4.17
28,2020-06-01 00:00:00,Esmeraldas2,P,2.44
29,2020-06-01 00:00:00,Guaranda,B,0.65
30,2020-06-01 00:00:00,Guaranda,P,0.68
31,2020-06-01 00:00:00,Gyea,P,52.059999999999995
32,2020-06-01 00:00:00,Gyec,P,16.799999999999997
33,2020-06-01 00:00:00,Gyei,P,81.29
34,2020-06-01 00:00:00,Gyek,P,0.0
35,2020-06-01 00:00:00,Gyem,P,28.52
36,2020-06-01 00:00:00,Gyes,P,113.17999999999999
37,2020-06-01 00:00:00,Ibarra,B,5.25
38,2020-06-01 00:00:00,Ibarra,P,4.31
39,2020-06-01 00:00:00,Jipijapa,B,1.12
40,2020-06-01 00:00:00,Jipijapa,P,0.96
41,2020-06-01 00:00:00,Lagoagrio,B,0.0
42,2020-06-01 00:00:00,Lagoagrio,P,0.0
43,2020-06-01 00:00:00,Latacunga,B,1.22
44,2020-06-01 00:00:00,Latacunga,P,0.73
45,2020-06-01 00:00:00,Loja,B,0.85
46,2020-06-01 00:00:00,Loja,P,0.89
47,2020-06-01 00:00:00,Macas,B,0.01
48,2020-06-01 00:00:00,Macas,P,0.01
49,2020-06-01 00:00:00,Machala,B,3.83
50,2020-06-01 00:00:00,Machala,P,3.31
51,2020-06-01 00:00:00,Manta,B,7.81
52,2020-06-01 00:00:00,Manta,P,7.97
53,2020-06-01 00:00:00,Milagro,B,4.1
54,2020-06-01 00:00:00,Milagro,P,0.0
55,2020-06-01 00:00:00,Montecristi,B,0.0
56,2020-06-01 00:00:00,Montecristi,P,0.23
57,2020-06-01 00:00:00,Naranjal,B,0.0
58,2020-06-01 00:00:00,Naranjal,P,0.12
59,2020-06-01 00:00:00,Otavalo,B,1.6
60,2020-06-01 00:00:00,Otavalo,P,1.37
61,2020-06-01 00:00:00,Palestina,B,0.0
62,2020-06-01 00:00:00,Palestina,P,0.04
